method,ck,probed,rerank_r,recall,qps,build_time
HBlock-v18 (Arxiv-768),1,1,32,0.4331,767251.0,5.206300000000001
HBlock-v18 (Arxiv-768),2,8,32,0.6878,414068.0,5.206300000000001
HBlock-v18 (Arxiv-768),3,27,32,0.7671,236295.0,5.206300000000001
HBlock-v18 (Arxiv-768),4,64,64,0.8974,79629.0,5.206300000000001
HBlock-v18 (Arxiv-768),5,125,64,0.913,61581.0,5.206300000000001
HBlock-v18 (Arxiv-768),6,216,64,0.9106,46987.0,5.206300000000001
HBlock-v18 (Arxiv-768),7,343,64,0.9137,35487.0,5.206300000000001
HBlock-v18 (Arxiv-768),8,512,64,0.9113,27200.0,5.206300000000001
HBlock-v18 (Arxiv-768),10,1000,64,0.9021,16589.0,5.206300000000001
HBlock-v18 (Arxiv-768),12,1728,64,0.8966,10565.0,5.206300000000001
