method,nprobe,recall,qps,build_time
JHQ-GPU-v1,1.0,0.9664,1071.0,26.21
JHQ-GPU-v1,1.5,0.9988,1069.0,26.21
JHQ-GPU-v1,2.0,1.0,1075.0,26.21
JHQ-GPU-v1,3.0,1.0,1071.0,26.21
JHQ-GPU-v1,4.0,1.0,1106.0,26.21
JHQ-GPU-v1,6.0,1.0,1059.0,26.21
JHQ-GPU-v1,8.0,1.0,1070.0,26.21
JHQ-GPU-v1,12.0,1.0,1062.0,26.21
JHQ-GPU-v1,16.0,1.0,1056.0,26.21
JHQ-GPU-v1,32.0,1.0,1045.0,26.21
JHQ-GPU-v3-IVF,1,0.8862,2756.0,26.7606
JHQ-GPU-v3-IVF,2,0.9591,2850.0,26.7606
JHQ-GPU-v3-IVF,4,0.9907,2724.0,26.7606
JHQ-GPU-v3-IVF,8,0.9982,2512.0,26.7606
JHQ-GPU-v3-IVF,16,1.0,2616.0,26.7606
JHQ-GPU-v3-IVF,32,1.0,2523.0,26.7606
JHQ-GPU-v3-IVF,64,1.0,2177.0,26.7606
JHQ-GPU-v3-IVF,128,1.0,2014.0,26.7606
JHQ-GPU-v4-Batched,1,0.8862,9668.0,26.879399999999997
JHQ-GPU-v4-Batched,2,0.9591,9571.0,26.879399999999997
JHQ-GPU-v4-Batched,4,0.9907,9434.0,26.879399999999997
JHQ-GPU-v4-Batched,8,0.9982,9461.0,26.879399999999997
JHQ-GPU-v4-Batched,16,1.0,9099.0,26.879399999999997
JHQ-GPU-v4-Batched,32,1.0,8495.0,26.879399999999997
JHQ-GPU-v4-Batched,64,1.0,7151.0,26.879399999999997
JHQ-GPU-v4-Batched,128,1.0,5449.0,26.879399999999997
JHQ-GPU-v5-CUDAGraph,1,0.8862,16287.0,27.3738
JHQ-GPU-v5-CUDAGraph,2,0.9591,16415.0,27.3738
JHQ-GPU-v5-CUDAGraph,4,0.9907,16040.0,27.3738
JHQ-GPU-v5-CUDAGraph,8,0.9982,12706.0,27.3738
JHQ-GPU-v5-CUDAGraph,16,1.0,11531.0,27.3738
JHQ-GPU-v5-CUDAGraph,32,1.0,10159.0,27.3738
JHQ-GPU-v5-CUDAGraph,64,1.0,8432.0,27.3738
JHQ-GPU-v5-CUDAGraph,128,1.0,5798.0,27.3738
